step,sim_time_sec,total_observed_voxels,frontier_voxels,distance_traveled,selected_score,plan_time_ms,mean_eig,mean_entropy,mean_variance,mean_info_gain,mean_path_cost,selected_info_gain,selected_path_cost,selected_utility,coord_active_peers,rejected_by_minpos,rejected_by_unreachable,phase,target_id,vantage_index,n_vantages_valid,vantage_los_clear,dwell_sec,prox_hold_count,prox_hold_total_sec,state,reconnect_range_to_goal_m,reconnect_elapsed_sec,unknown_fraction,coverage_source,info_gain_std,sep_peer_dist_m,sep_discount,sep_reordered,sep_eligible_peers,plan_cand_total,plan_rej_close,plan_rej_map,plan_rej_unreach,plan_rej_blacklist,plan_rej_minpos,plan_stall_ticks,pursue_peer,pursue_quarry_live,team_complete,plan_rej_visited
0,20.080000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.771668,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,25.000000,69767,62443,0.00488706,0,0,0.00229548,0.0559078,0.000271367,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.770345,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,30.000000,70962,63460,0.00988949,0,0,0.00209274,0.0576379,0.000251377,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.768833,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,35.000000,71812,64208,0.0148919,0,0,0.00196549,0.0595514,0.000249271,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.766314,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,40.000000,72952,65366,0.0198944,0,0,0.00185198,0.0624732,0.000228043,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.763228,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,45.000000,75713,67940,0.0248968,0,0,0.00189088,0.0654324,0.000226388,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.753338,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,50.000000,77682,69468,0.0289112,0,0,0.00213704,0.0704982,0.000287988,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.747543,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,55.000000,88795,78313,0.0336232,0,0,0.00354569,0.0986657,0.000527372,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.713404,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,60.000000,95691,83800,0.0377251,0,0,0.00346005,0.109747,0.00054967,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.692807,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,65.000000,103129,89692,0.0405662,0,0,0.00379346,0.12983,0.000611259,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.66843,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,70.000000,104840,90907,0.0411832,0,0,0.00323795,0.133662,0.000521743,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.663706,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,75.000000,106283,91936,0.0412331,0,0,0.00317488,0.137816,0.000508425,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.659234,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,80.000000,106709,92217,0.0412373,0,0,0.00303088,0.138088,0.000494953,0,0,0,0,0,0,0,0,explore,-1,-1,0,0,0,0,0,WAIT_FOR_MAP,-1,-1,0.658982,coverage_map,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,,-1,0,-1
0,85.000000,118222,101601,0.215764,0,0,0.00669585,0.167979,0.00139334,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.614386,coverage_map,0,-1,1,-1,0,57,4,0,0,0,0,0,,-1,1,0
0,90.000000,124813,107177,0.473984,0,0,0.00640099,0.173839,0.00128566,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.600277,coverage_map,0,-1,1,-1,0,57,4,0,0,0,0,0,,-1,1,0
0,95.000000,139591,120321,2.12694,0,0,0.00692395,0.178943,0.00133076,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.590703,coverage_map,0,-1,1,-1,0,57,4,0,0,0,0,0,,-1,1,0
0,100.000000,155814,135197,4.40811,0,0,0.00602885,0.167986,0.00109038,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.581129,coverage_map,0,-1,1,-1,0,57,4,0,0,0,0,0,,-1,1,0
0,105.000000,167424,145341,6.57134,0,0,0.00601477,0.166293,0.00108711,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.569413,coverage_map,0,-1,1,-1,0,57,4,0,0,0,0,0,,-1,1,0
0,110.000000,184584,160993,8.06343,0,0,0.00613218,0.164493,0.00108654,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,INTEGRATE,-1,-1,0.5548,coverage_map,0,-1,1,-1,0,57,4,0,0,0,0,0,,-1,1,0
0,110.400000,184584,160993,8.06383,5974.12,400,0.00613218,0.164493,0.00108654,15821.8,13.474,16882.8,7.88619,5974.12,1,0,0,explore,-1,-1,0,0,0,0,0,LOG_STEP,-1,-1,0.551272,coverage_map,1706.23,-1,1,-1,0,57,4,0,0,0,0,0,,-1,1,0
1,115.000000,197049,172433,9.22738,0,0,0.00605697,0.162692,0.00107316,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.534958,coverage_map,0,-1,1,-1,0,71,1,0,0,2,0,0,,-1,1,2
1,120.000000,223743,196577,11.4781,0,0,0.00771153,0.170938,0.00148362,0,0,0,0,0,1,0,0,explore,-1,-1,0,0,0,0,0,NAVIGATE,-1,-1,0.467498,coverage_map,0,-1,1,-1,0,71,1,0,0,2,0,0,,-1,1,2
