mount,orient,d_set_m,scan,d_m,px,py,lx,ly,lz,stamp,n_new,best_all,best_ns,best_rings,best_ring_list,near_n,near_rings,near_d_m,nearxy_n,nearxy_rings,nearxy_d_m,alarm_m3,alarm_m5,alarm_m10,alarm_m20,alarm_xy5,cand_m3,cand_m5,cand_m10,cand_m20,cand_xy5,best
lk0,toward,10.0,8,10.0,0.0,-69.986,0.0,-59.9855,0.8481,68.1,44,44,44,5,6 7 8 9 10,44,5,0.109,44,5,0.109,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,10.0,9,10.0,0.0,-69.986,0.0,-59.9855,0.8481,68.2,44,44,44,5,6 7 8 9 10,44,5,0.112,44,5,0.112,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,12.5,0,12.5,0.0,-72.486,0.0,-59.9855,0.8481,68.3,23,23,23,4,6 7 8 9,21,4,0.129,23,4,0.088,0,0,0,0,0,1,1,1,1,1,1
lk0,toward,12.5,1,12.5,0.0,-72.486,0.0,-59.9855,0.8481,68.4,23,23,23,4,6 7 8 9,21,4,0.116,23,4,0.078,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,12.5,2,12.5,0.0,-72.486,0.0,-59.9855,0.8481,68.5,23,23,23,4,6 7 8 9,21,4,0.123,23,4,0.083,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,12.5,3,12.5,0.0,-72.486,0.0,-59.9855,0.8481,68.6,23,23,23,4,6 7 8 9,21,4,0.127,23,4,0.087,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,12.5,4,12.5,0.0,-72.486,0.0,-59.9855,0.8481,68.7,23,23,23,4,6 7 8 9,21,4,0.131,23,4,0.09,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,12.5,5,12.5,0.0,-72.486,0.0,-59.9855,0.8481,68.8,23,23,23,4,6 7 8 9,21,4,0.131,23,4,0.091,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,12.5,6,12.5,0.0,-72.486,0.0,-59.9855,0.8481,68.9,23,23,23,4,6 7 8 9,21,4,0.13,23,4,0.09,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,12.5,7,12.5,0.0,-72.486,0.0,-59.9855,0.8481,69.0,23,23,23,4,6 7 8 9,21,4,0.125,23,4,0.085,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,12.5,8,12.5,0.0,-72.486,0.0,-59.9855,0.8481,69.1,23,23,23,4,6 7 8 9,21,4,0.125,23,4,0.085,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,12.5,9,12.5,0.0,-72.486,0.0,-59.9855,0.8481,69.2,23,23,23,4,6 7 8 9,21,4,0.132,23,4,0.091,1,1,1,1,1,1,1,1,1,1,1
lk0,toward,15.0,0,15.0,0.001,-74.986,0.0,-59.9855,0.8481,69.3,18,18,18,4,6 7 8 9,4,1,0.089,18,4,0.123,0,0,0,0,0,0,0,0,0,1,1
lk0,toward,15.0,1,15.0,0.001,-74.986,0.0,-59.9855,0.8481,69.4,18,18,18,4,6 7 8 9,4,1,0.088,18,4,0.123,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,15.0,2,15.0,0.001,-74.986,0.0,-59.9855,0.8481,69.5,18,18,18,4,6 7 8 9,4,1,0.087,18,4,0.127,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,15.0,3,15.0,0.001,-74.986,0.0,-59.9855,0.8481,69.6,18,18,18,4,6 7 8 9,4,1,0.094,18,4,0.128,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,15.0,4,15.0,0.001,-74.986,0.0,-59.9855,0.8481,69.7,18,18,18,4,6 7 8 9,4,1,0.095,18,4,0.121,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,15.0,5,15.0,0.001,-74.986,0.0,-59.9855,0.8481,69.8,18,18,18,4,6 7 8 9,4,1,0.084,18,4,0.123,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,15.0,6,15.0,0.001,-74.986,0.0,-59.9855,0.8481,69.9,18,18,18,4,6 7 8 9,4,1,0.085,18,4,0.116,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,15.0,7,15.0,0.001,-74.986,0.0,-59.9855,0.8481,70.0,18,18,18,4,6 7 8 9,4,1,0.096,18,4,0.122,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,15.0,8,15.0,0.001,-74.986,0.0,-59.9855,0.8481,70.1,18,18,18,4,6 7 8 9,8,1,0.1,18,4,0.121,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,15.0,9,15.0,0.001,-74.986,0.0,-59.9855,0.8481,70.2,18,18,18,4,6 7 8 9,4,1,0.089,18,4,0.118,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,17.5,0,17.5,0.001,-77.486,0.0,-59.9855,0.8481,70.3,10,10,10,2,7 8,4,1,0.092,10,2,0.098,0,0,0,0,0,0,0,0,0,1,1
lk0,toward,17.5,1,17.5,0.001,-77.486,0.0,-59.9855,0.8481,70.4,10,10,10,2,7 8,6,1,0.118,10,2,0.121,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,17.5,2,17.5,0.001,-77.486,0.0,-59.9855,0.8481,70.5,10,10,10,2,7 8,6,1,0.105,10,2,0.107,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,17.5,3,17.5,0.001,-77.486,0.0,-59.9855,0.8481,70.6,10,10,10,2,7 8,6,1,0.104,10,2,0.11,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,17.5,4,17.5,0.001,-77.486,0.0,-59.9855,0.8481,70.7,10,10,10,2,7 8,4,1,0.102,10,2,0.103,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,17.5,5,17.5,0.001,-77.486,0.0,-59.9855,0.8481,70.8,10,10,10,2,7 8,4,1,0.089,10,2,0.099,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,17.5,6,17.5,0.001,-77.486,0.0,-59.9855,0.8481,70.9,10,10,10,2,7 8,4,1,0.109,10,2,0.116,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,17.5,7,17.5,0.001,-77.486,0.0,-59.9855,0.8481,71.0,10,10,10,2,7 8,6,1,0.104,10,2,0.105,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,17.5,8,17.5,0.001,-77.486,0.0,-59.9855,0.8481,71.1,10,10,10,2,7 8,4,1,0.109,10,2,0.109,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,17.5,9,17.5,0.001,-77.486,0.0,-59.9855,0.8481,71.2,10,10,10,2,7 8,4,1,0.093,10,2,0.104,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,20.0,0,20.0,0.001,-79.986,0.0,-59.9855,0.8481,71.3,10,10,10,2,7 8,4,1,0.083,10,2,0.096,0,0,0,0,0,0,0,0,0,1,1
lk0,toward,20.0,1,20.0,0.001,-79.986,0.0,-59.9855,0.8481,71.4,10,10,10,2,7 8,4,1,0.093,10,2,0.098,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,20.0,2,20.0,0.001,-79.986,0.0,-59.9855,0.8481,71.5,10,10,10,2,7 8,4,1,0.102,10,2,0.11,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,20.0,3,20.0,0.001,-79.986,0.0,-59.9855,0.8481,71.6,10,10,10,2,7 8,4,1,0.084,10,2,0.099,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,20.0,4,20.0,0.001,-79.986,0.0,-59.9855,0.8481,71.7,10,10,10,2,7 8,4,1,0.096,10,2,0.108,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,20.0,5,20.0,0.001,-79.986,0.0,-59.9855,0.8481,71.8,10,10,10,2,7 8,6,1,0.094,10,2,0.099,0,0,0,0,1,0,0,0,0,1,1
lk0,toward,20.0,6,20.0,0.001,-79.986,0.0,-59.9855,0.8481,71.9,10,10,10,2,7 8,6,1,0.101,10,2,0.102,0,0,0,0,1,0,0,0,0,1,1
